iter	Passed	Remaining
0	1	127
1	2	119
2	3	115
3	4	107
4	5	108
5	6	106
6	8	106
7	9	105
8	10	104
9	11	103
10	12	102
11	13	100
12	14	99
13	16	99
14	17	97
15	18	96
16	19	95
17	20	93
18	21	92
19	22	91
20	23	89
21	25	88
22	26	87
23	27	86
24	28	85
25	29	84
26	30	83
27	32	82
28	33	81
29	34	80
30	35	79
31	36	78
32	37	76
33	38	75
34	39	74
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	45	65
41	46	63
42	46	62
43	47	60
44	48	59
45	49	58
46	50	57
47	51	55
48	52	54
49	53	53
50	54	52
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	61	41
60	62	40
61	63	39
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	97	0
